ID,vCPU_8,vCPU_10,vCPU_12,vCPU_16,Mem_64,Mem_128,Low_E_T_ms,Low_Tmax_ms,High_E_T_ms,High_Tmax_ms
1,b,,,,b,,688.70,4285.77,25923.91,44648.21
2,,b,,,b,,746.92,2471.54,30300.78,47247.99
3,,,b,,b,,720.63,4159.85,38896.82,59842.07
4,,,,b,b,,913.04,4183.49,40039.99,60017.20
5,b,,,,,b,524.64,1557.59,28664.05,58656.78
6,,b,,,,b,632.23,2352.36,29431.21,49438.62
7,,,b,,,b,771.82,2658.74,27190.03,47357.79
8,,,,b,,b,942.80,4123.37,42743.88,60058.51
9,s,,,,b,,388.92,1306.00,28617.33,60043.26
10,,,,s,b,,547.85,8960.63,60013.23,60058.18
11,b,,,,s,,661.23,2552.18,20230.60,45479.44
12,,,,b,s,,850.69,6003.84,32610.63,60043.28
13,s,,,,,s,365.70,1276.97,26435.66,60032.22
14,,,,s,,s,483.52,1477.83,60017.33,60030.62